,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
2122,8,17,2012,90002,1,1,231,10,1,20.2,35,5,2,228899
2123,2,248,2018,37060,1,1,254,10,0,24.4,40,5,2,662199
2124,2,195,2017,46534,1,1,226,10,0,23.0,52,5,2,648899
2125,8,458,2016,24357,0,1,223,10,1,20.4,42,5,2,555399
2126,8,69,2017,28198,0,0,235,10,1,21.6,35,5,2,468799
2127,12,475,2020,12301,0,0,224,10,1,18.2,40,7,2,679599
2128,3,104,2018,43903,1,1,241,10,1,17.4,40,5,2,822799
2129,12,474,2019,20442,0,1,249,10,1,20.0,40,7,2,696499
2130,8,553,2012,19641,0,1,224,10,1,15.0,35,5,2,327499
2131,4,519,2017,4578,0,1,232,10,1,17.4,45,5,2,867699
2132,6,436,2019,35149,0,0,217,10,0,21.7,45,5,2,1473399
2133,8,458,2018,27834,0,1,232,10,1,22.0,37,5,2,631299
2134,8,77,2016,36894,0,0,226,10,1,23.1,35,5,2,455399
2135,3,108,2016,48108,1,1,221,10,1,17.8,40,5,2,685699
2136,4,601,2014,50714,1,1,221,10,1,19.8,35,5,2,378299
2137,3,109,2016,52882,1,1,216,10,1,17.8,40,5,2,715099
2138,8,170,2017,48905,1,1,223,10,0,28.4,37,5,2,672699
2139,8,68,2016,29868,0,1,223,10,1,21.6,35,5,2,448899
2140,8,17,2014,34064,1,1,225,10,1,24.1,35,5,2,290599
2141,3,33,2015,50449,0,1,235,10,1,18.0,35,5,2,511699
2142,4,283,2018,21060,0,1,227,10,1,19.8,43,5,2,590799
2143,14,482,2018,31063,0,1,240,10,1,23.8,35,5,2,455899
2144,3,61,2018,28876,1,1,247,10,1,19.4,35,5,2,507999
2145,4,600,2012,62745,0,1,220,10,1,20.6,35,5,2,329399
2146,4,601,2014,64574,0,1,225,10,1,19.8,35,5,2,378299
2147,3,39,2018,91156,0,1,225,10,0,27.4,35,5,2,659299
2148,4,260,2020,15590,0,1,228,10,1,21.0,37,5,2,668299
2149,16,383,2015,56753,1,1,217,10,1,16.5,45,5,2,522299
2150,4,5,2020,22557,0,1,256,10,1,21.0,37,5,2,720199
2151,16,380,2016,72497,1,0,225,10,1,17.2,45,5,2,645299
2152,4,283,2018,19085,0,1,225,10,1,19.8,43,5,2,589099
2153,2,188,2016,32763,0,1,222,10,1,15.9,52,5,2,679799
2154,12,473,2020,21750,0,1,227,10,1,20.0,40,7,2,612999
2155,3,58,2014,53798,0,1,217,10,1,19.4,35,5,2,410699
2156,4,611,2014,43781,0,1,232,10,1,18.2,45,5,2,397699
2157,8,172,2021,5325,1,1,223,10,1,23.2,37,5,2,731699
2158,12,473,2020,20076,0,1,243,10,1,20.0,40,7,2,637699
2159,8,9,2013,40700,0,1,226,10,1,22.7,35,5,2,256699
2160,7,327,2017,15005,1,1,221,10,1,25.3,35,6,2,496799
2161,4,348,2019,1980,0,1,226,10,1,20.3,35,5,2,570099
2162,8,553,2015,8686,0,1,217,10,1,20.5,35,5,2,417399
2163,8,595,2013,60033,1,1,225,10,1,18.2,35,5,2,275099
2164,2,191,2015,51696,2,1,217,10,0,22.7,52,5,2,557299
2165,2,194,2015,25213,0,1,217,10,1,15.8,52,5,2,551899
2166,14,3,2021,13462,0,1,227,10,1,19.1,37,5,2,652699
2167,8,458,2018,22669,0,1,226,10,1,22.0,37,5,2,609799
2168,8,448,2013,82953,0,1,225,10,1,19.1,42,5,2,474799
2169,8,465,2014,12277,0,1,223,10,1,18.6,42,5,2,530799
2170,3,37,2021,13191,1,1,222,10,1,19.5,35,5,2,829299
