,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
168,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2016,47256,1st Owner,MANUAL,MH-49,MH,Petrol,18.9,43,5,Pune,471399
169,Maruti,Baleno DELTA 1.2 K12,2016,48248,2nd Owner,MANUAL,MH-01,MH,Petrol,21.4,37,5,Pune,532299
170,Honda,Brio 1.2 S MT I VTEC,2014,77690,1st Owner,MANUAL,MH-02,MH,Petrol,19.4,35,5,Pune,349699
171,Mahindra,XUV500 W6 AT,2016,89755,2nd Owner,AUTOMATIC,MH-14,MH,Diesel,13.9,70,7,Pune,1082099
172,Volkswagen,Vento HIGHLINE PETROL,2014,37558,1st Owner,MANUAL,MH-14,MH,Petrol,14.4,55,5,Pune,546299
173,Maruti,Wagon R 1.0 LXI CNG,2014,24802,1st Owner,MANUAL,MH-04,MH,Petrol + CNG,26.6,35,5,Pune,438099
174,Maruti,Celerio VXI (O) AMT,2018,36460,1st Owner,AUTOMATIC,MH-14,MH,Petrol,21.6,35,5,Pune,493099
175,Honda,Amaze 1.2 SMT I VTEC,2020,39888,2nd Owner,MANUAL,MH-14,MH,Petrol,19.5,35,5,Pune,641849
176,Hyundai,AURA SX PETROL,2020,35201,1st Owner,MANUAL,MH-12,MH,Petrol,20.5,37,5,Pune,750299
177,Maruti,Baleno DELTA 1.2 K12,2019,25843,1st Owner,MANUAL,MH-31,MH,Petrol,21.4,37,5,Pune,638299
178,Renault,TRIBER 1.0 RXZ,2019,9798,1st Owner,MANUAL,MH-12,MH,Petrol,20.0,40,7,Pune,696399
179,Honda,Brio 1.2 E MT I VTEC,2012,48547,2nd Owner,MANUAL,MH-03,MH,Petrol,18.5,35,5,Pune,303699
180,Volkswagen,Ameo COMFORTLINE 1.2,2017,50011,1st Owner,MANUAL,MH-12,MH,Petrol,17.8,45,5,Pune,509699
181,Tata,Tiago XZ 1.2 REVOTRON,2017,33007,1st Owner,MANUAL,MH-14,MH,Petrol,23.8,35,5,Pune,526699
182,Honda,Jazz ZX CVT,2021,9838,1st Owner,AUTOMATIC,MH-14,MH,Petrol,17.1,40,5,Pune,1041499
183,Hyundai,Verna 1.6 SX VTVT (O),2019,16014,1st Owner,MANUAL,MH-04,MH,Petrol,17.4,45,5,Pune,943099
184,Hyundai,Eon D LITE PLUS,2015,22763,1st Owner,MANUAL,MH-14,MH,Petrol,21.1,32,5,Pune,304099
185,Maruti,Wagon R 1.0 VXI,2012,37385,1st Owner,MANUAL,MH-31,MH,Petrol,15.0,35,5,Pune,321999
186,Volkswagen,Polo HIGH LINE PLUS 1.0,2018,32262,1st Owner,MANUAL,MH-14,MH,Petrol,18.8,45,5,Pune,710399
187,Maruti,Alto 800 LXI,2014,65255,2nd Owner,MANUAL,MH-14,MH,Petrol,22.7,35,5,Pune,252899
188,Maruti,Celerio ZXI AMT,2016,38229,2nd Owner,AUTOMATIC,MH-14,MH,Petrol,23.1,35,5,Pune,457299
189,Honda,City S MT PETROL,2012,91430,3rd Owner,MANUAL,MH-14,MH,Petrol,16.8,42,5,Pune,392699
190,Honda,Brio 1.2 S MT I VTEC,2012,68941,1st Owner,MANUAL,MH-03,MH,Petrol,18.9,35,5,Pune,302199
191,Tata,Tiago XT 1.2 REVOTRON,2019,18309,1st Owner,MANUAL,MH-12,MH,Petrol,27.3,35,5,Pune,509299
192,Hyundai,Grand i10 MAGNA 1.2 VTVT,2017,33798,1st Owner,MANUAL,MH-12,MH,Petrol,19.8,43,5,Pune,444399
